"","variables","TP53_ALL","TP53_del","TP53_cnLOH","TP53_mut","ATM_ALL","ATM_mut","ATM_del","ATM_cnLOH","BIRC3_ALL","BIRC3_mut","BIRC3_del","NOTCH1_mut","SF3B1_mut","X6q._del_ALL","X13q_ALL","Trisomy_12","Trisomy_18","Trisomy_19","XPO1_gain","SAMHD1_ALL","MYD88_mut","MED12mutation","X8q_ALL","Subclones","Total_num_CNAs","Binet","age_at_randomisation","patient_gender","vh_mutation_status","WBC","cd38"
"1","TP53_ALL",NA,0,0.558,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.136,1,1,1,1
"2","TP53_del",NA,NA,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","TP53_cnLOH",NA,NA,NA,1,0.727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","TP53_mut",NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5","ATM_ALL",NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","ATM_mut",NA,NA,NA,NA,NA,NA,0,0,1,0.47,0.005,1,0,0,1,0.189,0,1,1,1,1,1,1,1,1,0.004,1,1,1,1,1
"7","ATM_del",NA,NA,NA,NA,NA,NA,NA,1,1,0.042,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0.094,1,1,1,1,1
"8","ATM_cnLOH",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0.837,0,0.949,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","BIRC3_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0.122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","BIRC3_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11","BIRC3_del",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.007,0.683,0.063,1,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","NOTCH1_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","SF3B1_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.196,0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","X6q._del_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","X13q_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
