"","variables","TP53_ALL","TP53_del","TP53_cnLOH","TP53_morethan5VAF","TP53_biallelic","ATM_ALL","ATM_mut","ATM_del","ATM_cnLOH","ATM_more_than_one_mutation","BIRC3_ALL","BIRC3_mut","BIRC3_del","ATM_biallelic","BIRC3_biallelic","X11q_monoallelic","ATM_monoallelic","BIRC3_monoallelic","NOTCH1_mut","SF3B1_mut","X6q._del_ALL","X13q_ALL","X13q_del_homozygous","X13q_het","X13q_del_incl_RB1","X13q_sole_abnorm_Oxdefined","X13q_sole_abnormality_Rossi","Trisomy_12","Trisomy_18","Trisomy_19","XPO1_ALL","XPO1_gain","XPO1_mutation","SAMHD1_ALL","SAMHD1_mut","SAMHD1_cnLOH_Del","MYD88_mut","MED12mutation","X8q_ALL","X8q24_gain","ZFPM2_mut","Subclones","Total_num_CNAs","No_alteration","Binet","age_at_randomisation","patient_gender","vh_mutation_status","MRD","ALC","WBC","cd38"
"1","TP53_ALL",NA,0,0.001,0,0,0.51,0.571,0.498,1,0.411,0.343,1,0.593,0.386,0.444,1,0.627,0.636,0.432,0.422,0.101,0.69,0.083,0.655,0.073,0.038,0,0.143,1,1,0.202,0.031,0.682,1,1,1,1,0.198,0.031,0.006,1,0.009,0,1,1,0.773,0.817,0.234,0.161,0.861,0.852,0.292
"2","TP53_del",NA,NA,1,0,0,0.274,0.53,0.429,1,1,0.422,1,0.642,0.634,1,1,0.67,1,0.648,0.181,0.467,0.825,0.634,1,0.183,0.412,0.081,0.417,1,1,0.073,0.009,1,0.444,1,0.342,1,1,0.066,0.027,1,0.021,0,1,0.402,0.705,0.706,0.275,0.495,0.494,0.418,1
"3","TP53_cnLOH",NA,NA,NA,0.005,0.002,1,0.632,0.505,1,1,1,1,1,1,1,0.209,1,1,0.101,0.596,1,0.169,1,0.091,0.609,1,0.638,1,1,1,1,1,1,1,1,1,1,1,0.154,0.096,1,0.688,0.189,1,1,0.481,0.769,1,0.134,0.421,0.323,1
"4","TP53_morethan5VAF",NA,NA,NA,NA,0,0.173,0.186,0.275,1,0.631,0.087,0.642,0.189,0.181,1,1,1,1,1,1,0.357,0.875,0.181,0.377,0.099,0.125,0.006,0.083,1,1,0.045,0.01,0.327,1,1,0.568,1,1,0.01,0.002,1,0.002,0,1,0.847,0.661,0.684,0.215,0.099,0.484,0.501,0.878
"5","TP53_biallelic",NA,NA,NA,NA,NA,0.642,0.595,0.527,1,0.505,0.183,1,0.429,0.416,1,0.56,0.482,1,1,0.386,0.585,1,0.416,0.536,0.392,0.276,0.025,0.181,1,1,0.153,0.022,1,0.56,1,0.444,1,1,0.022,0.006,1,0.028,0,1,0.489,0.978,0.748,0.581,0.432,0.576,0.57,1
"6","ATM_ALL",NA,NA,NA,NA,NA,NA,0,0,0.031,0.001,0,0.373,0,0,0.031,0,0,0.593,0.441,0.548,0.655,0.803,0.74,0.855,0.192,0,0.832,0.045,0.281,0.186,0.858,1,1,0.35,0.209,0.168,1,0.314,0.782,1,0.405,0.221,0.08,0.653,0.23,0.415,0.264,0.566,0.546,0.306,0.115,0.367
"7","ATM_mut",NA,NA,NA,NA,NA,NA,NA,0.003,0.011,0,0.111,0.197,0.017,0,0.647,0.058,0,0.53,0.157,0.584,0.605,0.516,0.251,0.918,0.348,0,0.094,0.051,0.416,0.272,0.677,0.75,0.79,0.426,0.473,0.342,1,0.115,1,0.674,0.632,0.333,0.305,0.632,0.652,0.665,0.511,0.783,0.923,0.146,0.069,0.41
"8","ATM_del",NA,NA,NA,NA,NA,NA,NA,NA,1,0.283,0,0.018,0,0,0.002,0,0.002,0.697,0.829,0.404,0.342,1,0.345,0.538,0.189,0.005,0.384,0.074,0.632,0.64,0.2,1,0.187,0.103,0.167,0.101,1,1,0.697,0.632,0.157,0.003,0,1,0.172,0.433,0.383,0.19,0.084,0.941,0.663,0.191
"9","ATM_cnLOH",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,1,0.312,1,0.348,0.432,0.474,1,1,0.192,1,1,1,1,1,1,1,1,1,1,1,0.189,0.118,1,0.684,0.224,1,1,0.594,0.788,1,0.315,0.777,0.717,0.207
"10","ATM_more_than_one_mutation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,1,0.413,0.65,1,1,0,1,1,0.353,1,0.544,0.393,0.649,0.065,0.425,0.183,0.273,1,1,1,1,0.505,0.505,0.331,0.395,1,0.049,1,1,1,0.066,0.217,1,1,0.646,0.863,0.693,1,0.323,0.333,0.693
"11","BIRC3_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.002,0,0.003,0,0.662,1,0.743,0.821,0.338,0.706,0.507,0.005,0.18,0.688,0.266,0.114,0.195,1,0.183,0.088,0.152,0.089,1,0.636,0.236,0.631,0.03,0.075,0.019,1,0.577,0.653,0.553,0.501,0.554,0.744,0.889,0.738
"12","BIRC3_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,1,0,1,0.182,0,0.053,1,0.611,0.858,1,1,1,0.284,0.027,0.034,0.055,0.01,0.412,1,1,0.585,1,0.467,1,1,0.131,1,0.027,0.969,0.073,1,1,0.871,0.755,0.593,0.261,0.251,0.36,0.291
"13","BIRC3_del",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.017,0.642,0.449,0.845,0.713,0.897,0.273,0.664,0.439,0.025,0.611,0.1,1,1,0.38,1,0.429,0.101,0.081,0.132,1,1,1,1,0.395,0.018,0.075,1,0.422,0.548,0.368,0.16,0.103,0.836,0.566,0.444
"14","ATM_biallelic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.416,0.025,1,0.594,0.216,0.241,0.496,1,0.445,0.422,0.037,0.154,0.025,1,1,0.529,1,0.416,0.212,0.596,0.312,1,0.547,1,0.493,1,0.004,0,1,0.613,0.574,0.724,0.419,0.116,0.483,0.394,0.505
"15","BIRC3_biallelic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.488,1,1,1,1,1,1,1,0.413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.454,0.303,1,1,0.624,1,0.758,0.74,0.532,0.558,0.361
"16","X11q_monoallelic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287,1,0.712,0.564,0.585,1,0.416,0.536,0.15,0.276,0.025,0.731,1,1,0.649,1,1,0.198,0.081,0.117,1,1,0.444,1,0.209,0.977,0.398,1,0.251,0.374,0.202,0.581,0.238,0.878,0.616,0.461
