"","variables","TP53_ALL","TP53_del","TP53_cnLOH","TP53_mut","ATM_ALL","ATM_mut","ATM_del","ATM_cnLOH","BIRC3_ALL","BIRC3_mut","BIRC3_del","NOTCH1_mut","SF3B1_mut","X6q._del_ALL","X13q_ALL","Trisomy_12","Trisomy_18","Trisomy_19","XPO1_gain","SAMHD1_ALL","MYD88_mut","MED12mutation","X8q_ALL","Subclones","Total_num_CNAs","Binet","age_at_randomisation","patient_gender","vh_mutation_status","WBC","cd38"
"1","TP53_ALL",NA,0,0.001,0,0,0.51,0.571,0.498,1,0.411,0.343,1,0.593,0.386,0.444,1,0.627,0.636,0.432,0.422,0.101,0.69,0.083,0.655,0.073,0.038,0,0.143,1,1,0.202
"2","TP53_del",NA,NA,1,0,0,0.274,0.53,0.429,1,1,0.422,1,0.642,0.634,1,1,0.67,1,0.648,0.181,0.467,0.825,0.634,1,0.183,0.412,0.081,0.417,1,1,0.073
"3","TP53_cnLOH",NA,NA,NA,0.005,0.002,1,0.632,0.505,1,1,1,1,1,1,1,0.209,1,1,0.101,0.596,1,0.169,1,0.091,0.609,1,0.638,1,1,1,1
"4","TP53_mut",NA,NA,NA,NA,0,0.173,0.186,0.275,1,0.631,0.087,0.642,0.189,0.181,1,1,1,1,1,1,0.357,0.875,0.181,0.377,0.099,0.125,0.006,0.083,1,1,0.045
"5","ATM_ALL",NA,NA,NA,NA,NA,0.642,0.595,0.527,1,0.505,0.183,1,0.429,0.416,1,0.56,0.482,1,1,0.386,0.585,1,0.416,0.536,0.392,0.276,0.025,0.181,1,1,0.153
"6","ATM_mut",NA,NA,NA,NA,NA,NA,0,0,0.031,0.001,0,0.373,0,0,0.031,0,0,0.593,0.441,0.548,0.655,0.803,0.74,0.855,0.192,0,0.832,0.045,0.281,0.186,0.858
"7","ATM_del",NA,NA,NA,NA,NA,NA,NA,0.003,0.011,0,0.111,0.197,0.017,0,0.647,0.058,0,0.53,0.157,0.584,0.605,0.516,0.251,0.918,0.348,0,0.094,0.051,0.416,0.272,0.677
"8","ATM_cnLOH",NA,NA,NA,NA,NA,NA,NA,NA,1,0.283,0,0.018,0,0,0.002,0,0.002,0.697,0.829,0.404,0.342,1,0.345,0.538,0.189,0.005,0.384,0.074,0.632,0.64,0.2
"9","BIRC3_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,1,0.312,1,0.348,0.432,0.474,1,1,0.192,1,1,1,1
"10","BIRC3_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,1,0.413,0.65,1,1,0,1,1,0.353,1,0.544,0.393,0.649,0.065,0.425,0.183,0.273,1,1,1
"11","BIRC3_del",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.002,0,0.003,0,0.662,1,0.743,0.821,0.338,0.706,0.507,0.005,0.18,0.688,0.266,0.114,0.195
"12","NOTCH1_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,1,0,1,0.182,0,0.053,1,0.611,0.858,1,1,1,0.284,0.027,0.034,0.055,0.01,0.412
"13","SF3B1_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.017,0.642,0.449,0.845,0.713,0.897,0.273,0.664,0.439,0.025,0.611,0.1,1,1,0.38
"14","X6q._del_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.416,0.025,1,0.594,0.216,0.241,0.496,1,0.445,0.422,0.037,0.154,0.025,1,1,0.529
"15","X13q_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.488,1,1,1,1,1,1,1,0.413,1,1,1,1
"16","Trisomy_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287,1,0.712,0.564,0.585,1,0.416,0.536,0.15,0.276,0.025,0.731,1,1,0.649
"17","Trisomy_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.252,0.859,1,0.907,0.206,0.6,0.602,0.012,0.356,0.672,1,0.633,0.177
"18","Trisomy_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,1,0.467,1,1,1,1,0.412,0.081,0.006,0.027,0.003,1
"19","XPO1_gain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129,0.728,0.078,0.279,0.261,0.458,0.017,0,0.02,0.553,0.609,1
"20","SAMHD1_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.843,0.537,0.443,0.145,0.001,0,0.003,1,1,1
"21","MYD88_mut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.687,1,0.284,1,0.737,1,1,1
"22","MED12mutation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0,0,0.001,0,0,1,1,0.382
"23","X8q_ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.152,0.001,0,0.139,1,1,0.336
"24","Subclones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.055,0,0.001,0.744,0.772,0.622
"25","Total_num_CNAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.005,0.003,0.655,0.42,0.664
"26","Binet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.008,1,1,0.085
"27","age_at_randomisation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.283,0.848
"28","patient_gender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.001,0.057
"29","vh_mutation_status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"30","WBC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
