"","p.value","uncorrected","corrected.p.value","corrected","MRDpos0","MRDneg0","MRDpos1","MRDneg1","sum","testused"
"TP53_ALL",4.05e-05,"***",0.00038475,"***",83,105,19,2,209,"Fisher's Exact Test"
"TP53_mut_largerthan5VAF",1.2e-05,"***",0.000228,"***",87,107,15,0,209,"Fisher's Exact Test"
"TP53_bi",0.00856,"**",0.02033,"*",93,106,9,1,209,"Fisher's Exact Test"
"ATM_ALL",0.00185,"**",0.00616142857142857,"**",58,83,44,24,209,"Fisher's Exact Test"
"ATM_del",0.000454,"***",0.00287533333333333,"**",74,98,28,9,209,"Fisher's Exact Test"
"BIRC3_ALL",0.0945,"trend",0.12825,"n.s.",80,94,22,13,209,"Fisher's Exact Test"
"BIRC3_del",0.00162,"**",0.00616142857142857,"**",81,101,21,6,209,"Fisher's Exact Test"
"ATM_bi",0.00195,"**",0.00616142857142857,"**",83,102,19,5,209,"Fisher's Exact Test"
"BIRC3_bi",0.36,"n.s.",0.4275,"n.s.",99,106,3,1,209,"Fisher's Exact Test"
"X11q_mono",0.0456,"*",0.0937909090909091,"trend",92,104,10,3,209,"Fisher's Exact Test"
"ATM_mono",0.836,"n.s.",0.836,"n.s.",90,93,12,14,209,"Fisher's Exact Test"
"BIRC3_mono",0.0657,"trend",0.100261538461538,"n.s.",101,100,1,7,209,"Fisher's Exact Test"
"NOTCH1_mut",0.0686,"trend",0.100261538461538,"n.s.",93,88,9,19,209,"Fisher's Exact Test"
"SF3B1_mut",0.415,"n.s.",0.463823529411765,"n.s.",76,85,26,22,209,"Fisher's Exact Test"
"Trisomy_12",0.00227,"**",0.00616142857142857,"**",94,82,8,25,209,"Fisher's Exact Test"
"SAMHD1_ALL",0.0543,"trend",0.0937909090909091,"trend",94,105,8,2,209,"Fisher's Exact Test"
"Subclones",0.0505,"trend",0.0937909090909091,"trend",NA,NA,NA,NA,NA,"Wilcoxon Test"
"Total_num_CNAs",0.483,"n.s.",0.509833333333333,"n.s.",NA,NA,NA,NA,NA,"Wilcoxon Test"
"TP53_lowVAF",0.163,"n.s.",0.206466666666667,"n.s.",96,105,6,2,209,"Fisher's Exact Test"
